 ,Tribes ID,# avis Glassdoor,Note Glassdoor,Classements,Secteur,Business,Business Model,Cible,Fonds,Dernière levée (M€),Linkedin,Création,# employés,# d'employés,Domaine,Website,WTTJ,Mail type,Revenus,Croissance /an,Certification RH
TheGreenData,02LkElvoQ,-,n.a.,-,Agritech,"Les solutions Thegreendata aident les filières agricoles à transformer leurs modèles de production.
",Autres,B2B,"Crédit Agricole, Paris Region Venture Fund, UI gestion","2,0",https://www.linkedin.com/company/the-greendata/,2015,2-10,13,thegreendata.com,https://www.thegreendata.com/,,,-,n.a.,-
360Learning,01yChrxOv,32,"4,7",FT 120,Edtech,La 1ère plateforme de Collaborative Learning,SaaS,B2B,"Hi Inov, XAnge, Educapital, ISAI, Bpifrance","36,0",https://www.linkedin.com/company/1598756,2010,51-200,24,360learning.com,https://360learning.com,,,5-10M€,n.a.,-
365Talents,02SCyC2ET,9,"4,9",-,Edtech,Solution Intelligente SIRH & Gestion des Talents,SaaS,B2B,"Axeleo Capital,  ","2,5",https://www.linkedin.com/company/5399031,2015,51-200,23,365talents.com,https://www.365talents.com/fr,,prénom.nom@365talents.com,2-5M€,n.a.,-
AB Tasty,02MJS8IOw,36,"4,5",FT 120,Marketing,Solution d'A/B Testing et de Personnalisation,SaaS,B2B,"Korelya Capital, Partech Ventures , Xange Private Equity (Siparex), Omnes Capital","17,0",https://www.linkedin.com/company/1885711,2009,51-200,-,abtasty.com,https://www.abtasty.com,,prénom@abtasty.com,10-25M€,n.a.,-
Abbeal,02BCDffOv,10,"4,2",Top Linkedin,Autres,Conception d'app mobile,Service,B2B,,"0,0",https://www.linkedin.com/company/abbeal/?originalSubdomain=fr,2015,51-200,3,abbeal.com,https://www.abbeal.com/,,,-,n.a.,-
Ablacare,02Jnd8NM1,-,n.a.,-,Med / Biotech,Dispositif d’ablation par radiofréquence destiné à restaurer l’ovulation chez les femmes souffrant de syndrome d’ovaire polykystique,Produit,B2B,Sofinnova Partners,"10,0",https://www.linkedin.com/company/ablacare/,2017,2-10,52,ablacare.com,https://www.ablacare.com/,,,-,n.a.,-
UV Boosting,01yCiMNJN,-,n.a.,-,Agritech,"Conçoit des équipements de stimulation de défense naturelle des plantes par flashs UV, permettant de réduire vos besoins en fongicides.",Autres,B2B,Family offices,"2,2",https://www.linkedin.com/company/uv-boosting/,2017,11-50,15,vboosting.com,http://www.uvboosting.com/,,,-,n.a.,-
Tibot Technologies,02LkEjpN0,-,n.a.,-,Agritech,La référence en robotique avicole,Produit,B2B,"Demeter, Seventure Partners, Breizh Up, le Crédit agricole Ille et Vilaine Expansion","3,0",https://www.linkedin.com/company/tibot-technologies/,2016,2-10,22,tibot.fr,https://tibot.fr/,,,-,n.a.,-
Acticor Biotech,02Q2LxK6L,-,n.a.,FT 120,Med / Biotech,For a safe and effective treatment of stroke,Produit,B2B,Go Capital,"29,3",https://www.linkedin.com/company/acticor-biotech/?originalSubdomain=fr,2013,11-50,130,acticor-biotech.com,https://acticor-biotech.com/,,,-,n.a.,-
Poulehouse,02MIvkFgx,-,n.a.,-,Agritech,Un mode de production responsable et éthique,Autres,B2C,"Quadia, Normandie Participations, Caisse d'Epargne Innovation","3,5",https://www.linkedin.com/company/poulehouse/,2017,11-50,24,poulehouse.fr,https://www.poulehouse.fr/,,,-,n.a.,-
Prêt à Pousser,02LkEoQ52,-,n.a.,-,Agritech,Potager d'intérieur et kits à champignons,Produit,B2C,Capagro,"4,3",https://www.linkedin.com/company/pr-t-pousser/,2013,11-50,27,pretapousser.fr,https://pretapousser.fr/,,,-,n.a.,-
Addev Materials,02LkANj,-,n.a.,-,Data,Transformateur de matériaux,Produit,B2B,"Tikehau Capital, Bpifrance","38,0",https://www.linkedin.com/company/addev-materials/?originalSubdomain=fr,2006,51-200,200,addevmaterials.fr,https://www.addevmaterials.fr/,,,-,n.a.,-
Adictiz,02SCyiSJO,-,n.a.,-,Marketing,Solution n°1 de création de jeux marketing,SaaS,B2B,-,,https://www.linkedin.com/company/adictiz/?originalSubdomain=fr,2009,51-200,-,adictiz.com,https://www.adictiz.com/,,,2-5M€,0 à 20%,-
Admo.tv,01yChuW8C,8,"4,1",-,Marketing,Mesurez & amplifiez votre impact publicitaire TV,SaaS,B2B,"Runa Capital, Entrepreneur Venture, Cap Décisif","6,0",https://www.linkedin.com/company/admo.tv/?originalSubdomain=fr,2015,51-200,154,Admo.tv,https://admo.tv/,,,-,n.a.,-
Advitam,02SCz07ct,-,n.a.,-,Autres,Des obsèques sans vous déplacer dès 1699 €,SaaS,B2C,"Newfund, BPI France","1,8",https://www.linkedin.com/company/advitam-fr/,2016,11-50,4,Advitam.fr,https://advitam.fr/,,,-,n.a.,-
Fluicity,01yChveEq,-,n.a.,-,Autres,Application citoyenne - Innovation participative‎,SaaS,B2B,Business angels,"2,0",https://www.linkedin.com/company/9258852,2015,2-10,5,flui.city,http://www.flui.city,,,-,n.a.,-
Adwanted,01yCiQBUv,-,n.a.,-,Marketing,"Mettre en relations des vendeurs (régies pub de médias non programmatiques: presse, magazine, afficheurs, radio, TV, éditeurs de newsletters) avec les acheteurs",Marketplace,B2B,-,"2,7",https://www.linkedin.com/company/adwanted/?originalSubdomain=fr,2012,51-200,20,adwanted.com,https://www.adwanted.com/,,,-,n.a.,-
Manty,02IWxgxpj,7,5,-,Autres,Aide les collectivités locales à piloter l'action publique grâce à une plateforme d'aide à la décision branchée directement sur les logiciels métiers,SaaS,B2B,"Banque des Territoires, Axeleo Capital, Kima Ventures","2,4",https://www.linkedin.com/company/manty/,2017,11-50,6,anty.eu,http://www.manty.eu/,,,-,n.a.,-
Adyoulike,02TuncQfZ,29,"2,5",FT 120,Marketing,Global leader in native advertising (US),Ads,B2B,"BNP Paribas Développement, Bpifrance, Banexi Ventures Partners","5,0",https://www.linkedin.com/company/adyoulike/about/,2011,51-200,32,nativestories.io,https://www.adyoulike.com/,,,-,n.a.,-
Aelis Farma,01yCiUQbM,-,n.a.,-,Med / Biotech,Clinical stage biotech company opening a new frontier in pharmacology,Produit,B2C,"La Région Nouvelle Aquitaine, Inserm Transfert Initiative, ACI, NACO, Aelis Innovation","11,0",https://www.linkedin.com/company/aelis-farma/,2013,11-50,65,aelisfarma.com,https://www.aelisfarma.com/,,,-,n.a.,-
Afyren,01yChoN,-,n.a.,FT 120,Greentech,AFYREN offre aux industriels des molécules biosourcées de substitution,Service,B2B,"Sofinnova Partners, Valquest Partners, Supernova, le Crédit Agricole, AFY Partners, Sofimac Régions","21,0",https://www.linkedin.com/company/afyren/,2012,11-50,121,afyren.com,https://afyren.com/,,,-,n.a.,-
Agicap,02Ne3zp,-,n.a.,-,Fintech,Logiciel de Trésorerie - Remplace la gestion sur Excel‎,SaaS,B2B,"BlackFin Capital Partners, Kima Ventures","2,4",https://www.linkedin.com/company/10813714,2016,51-200,26,agicap.fr,http://agicap.fr,,prénom.nom@agicap.fr,-,n.a.,-
AssoConnect,02SCzET,6,5,-,Autres,LE Logiciel pour Association‎,SaaS,B2B,"ISAI, XAnge","7,0",https://www.linkedin.com/company/3349475,2011,2-10,8,assoconnect.com,https://www.assoconnect.com,,prénom@assoconnect.com,-,n.a.,-
Cycloid,02SCzM3,-,n.a.,-,Autres,"We simplify the way people use technology. Regardless of skill set, we help them work smarter and contribute to a project through our DevOps framework.",SaaS,B2B,Orange Digital Ventures,"3,0",https://www.linkedin.com/company/cycloid/,2015,11-50,8,cycloid.io,https://www.cycloid.io/,,,-,n.a.,-
Agorize,02SCyiS,-,n.a.,-,Conseil / fonds,Agorize connecte les entreprises avec une communauté mondiale de 5 millions d'innovateurs pour les aider à innover et repérer les meilleurs talents.,Service,B2B,"Creadev, Sofiouest, Iris Capital, Capnamic Ventures","13,0",https://www.linkedin.com/company/1477703,2011,11-50,73,get.agorize.com,http://www.get.agorize.com,,,-,n.a.,-
Agriconomie,02L76UCoS,4,"4,7",FT 120,Ecommerce,"Site e-commerce spécialisé dans la vente d'engrais, de semences et de materiel agricole.",Marketplace,B2B,Elaia,,https://www.linkedin.com/company/agriconomie-france/,2014,51-200,-,agriconomie.com,https://www.agriconomie.com/,,,-,n.a.,-
Agricool,01yCiN2LZ,-,n.a.,-,Agritech,Pour mieux manger en ville,Produit,B2C,-,,https://www.linkedin.com/company/11010531,2015,51-200,-,agricool.co,http://www.agricool.co,,,-,n.a.,-
IBAT,01yCiPB,-,n.a.,-,Autres,Logiciel de gestion de chantier pour les entreprises du BTP,SaaS,B2B,"Irdi Soridec Gestion, Caisse d’Epargne Midi Pyrénées, investisseurs privés, Bpifrance","2,4",https://www.linkedin.com/company/ibat-btp/,2016,11-50,8,ibat-solution.com,https://www.ibat-solution.com/,,,-,n.a.,-
Aircall,01yCiOxOy,45,"4,6",FT 120,Marketing,Téléphonie sur IP pour les entreprises - Solution VoIP,SaaS,B2B,-,,https://www.linkedin.com/company/5013970,2014,51-200,-,aircall.io,https://aircall.io,,prénom@aircall.io,10-25M€,n.a.,-
Station,02H3jzt9s,-,n.a.,Efounders,Autres,"Navigateur spécialement adapté aux besoins des entreprises, qui regroupe différents applications de travail",SaaS,B2B,Accel,"3,9",https://www.linkedin.com/company/11284252,2017,11-50,8,getstation.com,https://getstation.com/,,,-,n.a.,-
Artifakt,02SCySPKL,-,n.a.,-,Autres,All-in-one DevOps solution that helps developers deliver their code easily all the while offering modern cloud infrastructure to power your business.,SaaS,B2B,-,,https://www.linkedin.com/company/artifakt.io/,2017,11-50,9,artifakt.io,https://www.artifakt.io/,,,-,n.a.,-
Akeneo,02L7XGuHl,-,n.a.,FT 120,Marketing,Open Source PIM,SaaS,B2B,"Summit Partners, Alven, Partech, Salesforce Ventures","41,0",https://www.linkedin.com/company/2862073,2013,51-200,-,akeneo.com,http://www.akeneo.com,,,-,n.a.,-
Bonjour ,02L76XBJ6,-,n.a.,Efounders,Autres,Videoconferencing designed for sales professionals with built-in sales intelligence to set up the foundations for your team's growth.,SaaS,B2B,-,,https://www.linkedin.com/company/bonjour-io/,2019,11-50,9,bonjour.io,https://bonjour.io/,,,-,n.a.,-
Alan,01yChkJrx,11,"4,8",Next 40,Fintech,"Finies la paperasse et l'opacité, on a réinventé l'assurance santé.",Service,B2C,Temasek,"50,0",https://www.linkedin.com/company/10424439,2016,11-50,317,alan.com,https://www.alan.com,,,-,n.a.,-
Alderaan Biotechnology,02QcjQURF,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Advent France Biotechnology (AFB), Medicxi","18,5",https://fr.linkedin.com/company/alderaan-biotechnology,2017,2-10,99,,,,,-,n.a.,-
Aledia,01yChxqJB,-,n.a.,FT 120,Autres,"New mass-manufacturable display technologies for greater battery life, better outdoor readability, improved image quality and higher resolution",Autres,B2B,-,,https://www.linkedin.com/company/aledia/,2011,51-200,-,aledia.com,https://www.aledia.com/,,,-,n.a.,-
Algolia,01yChrQPy,84,"4,3",-,Marketing,Algolia Site Search API - Easy To Implement‎,SaaS,B2B,"Accel, Alven, DAG Ventures, Founders Circle, Owl Rock Capital, SaaStr Fund, World Innovation Lab, Salesforce Ventures","100,0",https://www.linkedin.com/company/2728700,2012,51-200,-,algolia.com,https://www.algolia.com,,prénom@algolia.com,10-25M€,n.a.,-
Isybot,02A0azQ,-,n.a.,-,Autres,Conçoit des robots collaboratifs (Cobot) issus de la recherche du CEA,Autres,B2B,"Karot Capital, Socomore Ventures, Calao Finance","2,0",https://www.linkedin.com/company/sybot/,2015,2-10,9,isybot.com,https://www.isybot.com/,,,-,n.a.,-
Alizé Pharma 3,02Q2M17ls,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"LSP, Novo Ventures, Kurma Partners, Orbimed, Pontifax, Partners Innovation Fund, Innobio 2 (géré par Bpifrance), Turenne Capital, Crédit Agricole Création, TAB Consulting","67,0",https://www.linkedin.com/company/amolytpharma/,2015,11-50,-,,,,,-,n.a.,-
Finalcad,02SCy2b,14,2,Next 40,Autres,Boostez la Productivité sur Vos Chantiers avec l'App Finalcad sur Smartphone et Tablette !,SaaS,B2B,-,,https://www.linkedin.com/company/5250940,2011,11-50,10,finalcad.com,http://www.finalcad.com,,prénom@finalcad.com,-,n.a.,-
Alma,02Ne2xn,-,n.a.,-,Fintech,La solution de paiement en plusieurs fois garanti pour le e-commerce et les magasins.,Autres,B2B,"ISAI, Idinvest, Picus Capital","12,5",https://www.linkedin.com/company/alma-alma-alma/,2018,11-50,70,getalma.eu,https://getalma.eu/,,,-,n.a.,-
Folk,02Ne3PNXB,-,n.a.,Efounders,Autres,"Contact manager designed for teams and individuals. Organize, collaborate, and activate your network.",SaaS,B2C,-,,https://www.linkedin.com/company/folkhq,2019,2-10,10,folk.io,https://folk.io/,,,-,n.a.,-
Alsid,02ODbwM,2,"3,4",-,Cybersécurité,Au-delà de la sécurité périmétrique,SaaS,B2B,"Idinvest Partners, 360 Capital Partners, Axeleo Capital","13,0",https://www.linkedin.com/company/alsidofficial/,2016,51-200,15,alsid.com,https://www.alsid.com,,,-,n.a.,-
Julie Desk,02Kg5tiQu,-,n.a.,-,Autres,Julie Desk est un assistant à intelligence artificielle qui organise l'ensemble de vos RDV par email pour vous faire gagner du temps.,SaaS,B2B,-,,https://www.linkedin.com/company/9332655,2014,2-10,10,juliedesk.com,https://www.juliedesk.com,,,-,n.a.,-
Pulse Santé,01yChjp6D,-,n.a.,-,Autres,Logiciel pour les prestataires de santé.,SaaS,B2B,-,,https://www.linkedin.com/company/pulse-sante/,2019,2-10,11,pulse-sante.fr,https://www.pulse-sante.fr/,,,-,n.a.,-
Andjaro,02JyY9cvS,9,"4,1",-,RH,Gestion du transfert ponctuel de collaborateurs,Marketplace,B2B,"IDinvest Partners, Sofiouest, Arkéna via We Positive Invest, Alliance Entreprendre, SWEN Capital Partners","13,4",https://www.linkedin.com/company/10161918,2015,2-10,74,andjaro.com,http://www.andjaro.com,,prénom@andjaro.com,-,n.a.,-
AnotherBrain,02Kg5ti,-,n.a.,FT 120,Deeptech,"Created a new kind of artificial intelligence, called Organic AI",Autres,B2B,"Seb Alliance, Robinson Technologies, Alpha Intelligence Capital, Daphni, Cathay Capital","19,0",https://www.linkedin.com/company/another-brain/,2017,11-50,99,anotherbrain.ai,https://anotherbrain.ai/,,,-,n.a.,-
Whyse,02Ne2nxpz,-,n.a.,-,Autres,Allow your community to share feedback,SaaS,B2B,-,,https://www.linkedin.com/company/whyseco/,2018,2-10,11,whyse.co,https://whyse.co/,,,-,n.a.,-
